                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.98228,                0.60586,                 1.1183,                0.81693,                0.79569,                0.84473,                  0.509,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.97994,                 0.5966,                 1.1147,                0.81567,                0.82046,                0.83776,                0.54982,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.96277,                0.59059,                 1.1082,                0.81636,                0.78401,                0.84527,                0.53073,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.96897,                 0.5933,                 1.1091,                0.79781,                0.79619,                0.83502,                0.54087,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.97103,                0.58792,                 1.1035,                0.81238,                0.78269,                0.84198,                0.56136,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.97067,                0.59029,                  1.107,                0.83829,                0.77296,                0.83515,                0.52814,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.93506,                0.57476,                 1.0941,                 0.8158,                0.80577,                0.83396,                0.53212,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                 0.9502,                0.58256,                 1.1027,                0.81618,                0.80776,                0.83847,                0.53843,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.94572,                0.57209,                    1.1,                0.80764,                0.80393,                0.83331,                0.53049,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                 0.9517,                0.57899,                 1.0965,                0.82106,                0.79688,                0.83512,                0.52639,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.94095,                0.57437,                 1.0941,                0.81033,                0.82271,                 0.8492,                0.55007,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
