                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.1165,                 0.9924,                  1.219,                0.76627,                0.68538,                0.75242,                0.50799,                    nan,                    inf,                    nan,                0.00307,                0.00307,                0.00307
                     72,                 1.1184,                0.98921,                  1.219,                0.76824,                0.68877,                0.75383,                0.50893,                    nan,                    inf,                    nan,               0.002971,               0.002971,               0.002971
                     73,                 1.1138,                0.98648,                 1.2189,                0.77191,                0.69156,                0.75521,                  0.511,                    nan,                    inf,                    nan,               0.002872,               0.002872,               0.002872
                     74,                 1.1135,                0.97894,                  1.217,                0.77806,                0.68976,                0.75622,                0.51146,                    nan,                    inf,                    nan,               0.002773,               0.002773,               0.002773
                     75,                 1.1114,                0.97807,                 1.2144,                0.77249,                0.69582,                0.75779,                 0.5133,                    nan,                    inf,                    nan,               0.002674,               0.002674,               0.002674
                     76,                 1.1093,                0.97456,                 1.2146,                 0.7618,                 0.7057,                0.75954,                0.51336,                    nan,                    inf,                    nan,               0.002575,               0.002575,               0.002575
                     77,                 1.1046,                0.97116,                 1.2109,                0.76463,                 0.7072,                0.76018,                0.51301,                    nan,                    inf,                    nan,               0.002476,               0.002476,               0.002476
                     78,                 1.1018,                0.96424,                 1.2084,                 0.7685,                0.70769,                0.76218,                0.51494,                    nan,                    inf,                    nan,               0.002377,               0.002377,               0.002377
                     79,                 1.1002,                0.96052,                 1.2075,                0.76787,                0.71071,                0.76182,                0.51527,                    nan,                    inf,                    nan,               0.002278,               0.002278,               0.002278
                     80,                 1.0983,                0.95561,                 1.2042,                0.78076,                0.70609,                0.76321,                 0.5164,                    nan,                    inf,                    nan,               0.002179,               0.002179,               0.002179
                     81,                  1.096,                0.95613,                  1.205,                0.78499,                0.70528,                0.76475,                0.51812,                    nan,                    inf,                    nan,                0.00208,                0.00208,                0.00208
                     82,                 1.0941,                0.95114,                  1.203,                0.78014,                 0.7116,                0.76668,                0.51918,                    nan,                    inf,                    nan,               0.001981,               0.001981,               0.001981
                     83,                 1.0893,                0.94476,                 1.2002,                0.77906,                0.70972,                0.76607,                0.51927,                    nan,                    inf,                    nan,               0.001882,               0.001882,               0.001882
                     84,                 1.0862,                0.94165,                 1.1986,                0.77344,                0.71276,                0.76772,                0.52039,                    nan,                    inf,                    nan,               0.001783,               0.001783,               0.001783
                     85,                 1.0831,                0.93768,                 1.1979,                0.77579,                0.71263,                0.76832,                0.52221,                    nan,                    inf,                    nan,               0.001684,               0.001684,               0.001684
                     86,                 1.0818,                0.93291,                  1.194,                0.77685,                0.71071,                0.76863,                0.52319,                    nan,                    inf,                    nan,               0.001585,               0.001585,               0.001585
                     87,                   1.08,                 0.9271,                 1.1931,                0.76948,                0.71625,                0.76895,                0.52265,                    nan,                    inf,                    nan,               0.001486,               0.001486,               0.001486
                     88,                 1.0737,                0.92055,                 1.1916,                0.77217,                0.71578,                0.76973,                0.52324,                    nan,                    inf,                    nan,               0.001387,               0.001387,               0.001387
                     89,                  1.068,                0.91535,                 1.1887,                0.77439,                0.71613,                0.76974,                0.52418,                    nan,                    inf,                    nan,               0.001288,               0.001288,               0.001288
                     90,                 1.0404,                0.83301,                 1.1731,                0.77989,                0.71403,                 0.7706,                0.52375,                    nan,                    inf,                    nan,               0.001189,               0.001189,               0.001189
                     91,                 1.0316,                0.81869,                 1.1646,                0.77734,                0.71455,                0.77078,                0.52392,                    nan,                    inf,                    nan,                0.00109,                0.00109,                0.00109
                     92,                 1.0249,                0.80823,                 1.1606,                0.78443,                0.70595,                0.77037,                0.52349,                    nan,                    inf,                    nan,               0.000991,               0.000991,               0.000991
                     93,                 1.0189,                0.80029,                 1.1564,                0.78186,                0.71139,                0.77145,                0.52383,                    nan,                    inf,                    nan,               0.000892,               0.000892,               0.000892
                     94,                  1.013,                0.79112,                 1.1531,                0.78535,                0.71111,                0.77209,                0.52568,                    nan,                    inf,                    nan,               0.000793,               0.000793,               0.000793
                     95,                  1.006,                0.78109,                 1.1479,                0.78388,                0.71224,                0.77226,                0.52731,                    nan,                    inf,                    nan,               0.000694,               0.000694,               0.000694
                     96,                 1.0007,                0.77604,                 1.1456,                 0.7803,                0.71591,                0.77256,                0.52853,                    nan,                    inf,                    nan,               0.000595,               0.000595,               0.000595
                     97,                 0.9958,                0.76686,                 1.1413,                0.78212,                0.71161,                0.77292,                0.52881,                    nan,                    inf,                    nan,               0.000496,               0.000496,               0.000496
                     98,                 0.9901,                0.75782,                 1.1362,                0.78855,                0.71076,                 0.7727,                 0.5293,                    nan,                    inf,                    nan,               0.000397,               0.000397,               0.000397
                     99,                0.98205,                0.74976,                 1.1313,                0.79103,                0.70733,                0.77198,                0.53012,                    nan,                    inf,                    nan,               0.000298,               0.000298,               0.000298
