                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.57112,                0.72695,                0.86471,                0.70757,                0.58326,                0.64132,                0.55537,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                 0.5734,                0.71831,                0.88124,                0.67089,                0.62296,                0.65083,                 0.5697,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.57583,                0.74052,                 0.8759,                0.73381,                0.62601,                0.66922,                 0.5905,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.56594,                0.70927,                  0.866,                0.65999,                0.62706,                0.65237,                0.57364,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.58222,                0.71268,                0.86935,                0.72594,                0.58619,                0.63624,                0.56311,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.55403,                0.68919,                0.86402,                0.67618,                0.59833,                0.61877,                 0.5438,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.57228,                0.69375,                0.87189,                0.62261,                  0.597,                0.62213,                0.55193,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.56872,                 0.7136,                0.87113,                 0.5807,                0.63587,                0.61777,                0.54734,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.54449,                0.65501,                0.86418,                0.68737,                0.54809,                 0.6162,                0.54412,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.57042,                0.71759,                0.87562,                0.67029,                0.65129,                0.64067,                0.57263,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.52948,                0.64774,                0.86198,                0.67298,                0.62157,                0.62305,                0.54314,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.51844,                0.67398,                0.85176,                0.66389,                0.60235,                0.62818,                 0.5455,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                 0.5233,                 0.6493,                0.85483,                0.59962,                0.66996,                0.62903,                0.54837,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.52722,                0.66836,                0.86125,                0.58997,                0.67666,                0.63011,                0.54971,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.53288,                0.65376,                0.84764,                0.61438,                0.67405,                0.65729,                0.57554,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.50534,                 0.6249,                0.85224,                0.62748,                0.66597,                0.65533,                0.57637,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                 0.5385,                0.63631,                0.86054,                0.64137,                0.62001,                0.65484,                0.57727,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.51765,                 0.6254,                0.86184,                0.68299,                0.61232,                0.66014,                0.57915,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.48104,                0.64427,                0.85759,                0.79835,                0.55744,                0.66506,                0.58502,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.51803,                0.59658,                0.85214,                0.68383,                0.61742,                 0.6652,                 0.5875,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.51706,                0.64173,                0.85735,                0.62644,                0.65315,                0.66198,                0.58815,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.52499,                 0.6133,                0.84538,                  0.663,                0.64814,                0.66367,                  0.588,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.50664,                0.63108,                0.85318,                0.66239,                0.66833,                 0.6589,                0.58519,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.50895,                0.59993,                0.84956,                0.73754,                0.56942,                 0.6576,                0.58629,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.51037,                0.60219,                0.84987,                0.73888,                0.56161,                0.64933,                0.57417,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.49921,                0.59897,                0.84541,                0.74483,                0.56666,                0.64872,                0.57953,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.52207,                0.73628,                 0.8469,                0.70447,                0.59626,                0.62854,                0.56608,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.51157,                0.67334,                0.83692,                0.74934,                0.55413,                0.62381,                0.56369,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.54841,                0.72207,                0.84321,                  0.745,                0.58502,                0.63716,                0.57003,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.50768,                0.66412,                0.83334,                0.73728,                0.59314,                0.65302,                0.58646,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.46852,                0.62113,                0.84239,                0.74563,                0.58713,                0.65616,                0.58931,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.48492,                0.64238,                 0.8342,                 0.6962,                 0.6229,                0.66631,                0.59867,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.45913,                0.63699,                0.81951,                0.72694,                0.60883,                0.67064,                0.60051,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.50003,                 0.6544,                0.82047,                0.66861,                0.67244,                0.67085,                0.60139,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.44577,                0.61193,                0.81014,                0.73925,                0.60274,                0.66834,                0.59792,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.47286,                0.62518,                 0.8351,                0.74549,                0.60074,                0.66424,                0.59172,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
